,KEITH YANDLE,PETER MUELLER,STEVE REINPRECHT,OLLI JOKINEN,SHANE DOAN
KEITH YANDLE,0.0,2.0,10.0,2.0,0.0
PETER MUELLER,2.0,0.0,5.0,20.0,17.0
STEVE REINPRECHT,10.0,5.0,0.0,0.0,28.0
OLLI JOKINEN,2.0,20.0,0.0,0.0,20.0
SHANE DOAN,0.0,17.0,28.0,20.0,0.0
