,MARTY REASONER,RICH PEVERLEY,COLBY ARMSTRONG,BRYAN LITTLE,TODD WHITE,VYACHESLAV KOZLOV,ILYA KOVALCHUK
MARTY REASONER,0.0,7.0,4.0,2.0,1.0,6.0,4.0
RICH PEVERLEY,0.0,0.0,15.0,0.0,0.0,9.0,17.0
COLBY ARMSTRONG,0.0,0.0,0.0,0.0,5.0,14.0,11.0
BRYAN LITTLE,0.0,0.0,0.0,0.0,39.0,40.0,24.0
TODD WHITE,0.0,0.0,0.0,0.0,0.0,27.0,41.0
VYACHESLAV KOZLOV,0.0,0.0,0.0,0.0,0.0,0.0,26.0
ILYA KOVALCHUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
