,MIKE FISHER,NICK FOLIGNO,DANY HEATLEY,DANIEL ALFREDSSON,JASON SPEZZA
MIKE FISHER,0.0,8.0,9.0,11.0,0.0
NICK FOLIGNO,8.0,0.0,1.0,4.0,8.0
DANY HEATLEY,9.0,1.0,0.0,50.0,53.0
DANIEL ALFREDSSON,11.0,4.0,50.0,0.0,37.0
JASON SPEZZA,0.0,8.0,53.0,37.0,0.0
