,DEVIN SETOGUCHI,RYANE CLOWE,JOE PAVELSKI,PATRICK MARLEAU,JOE THORNTON
DEVIN SETOGUCHI,0.0,3.0,8.0,37.0,54.0
RYANE CLOWE,3.0,0.0,26.0,5.0,1.0
JOE PAVELSKI,8.0,26.0,0.0,3.0,2.0
PATRICK MARLEAU,37.0,5.0,3.0,0.0,47.0
JOE THORNTON,54.0,1.0,2.0,47.0,0.0
