,RUSLAN FEDOTENKO,PETR SYKORA,JORDAN STAAL,EVGENI MALKIN,SIDNEY CROSBY
RUSLAN FEDOTENKO,0.0,16.0,11.0,18.0,9.0
PETR SYKORA,16.0,0.0,9.0,31.0,20.0
JORDAN STAAL,11.0,9.0,0.0,17.0,7.0
EVGENI MALKIN,18.0,31.0,17.0,0.0,61.0
SIDNEY CROSBY,9.0,20.0,7.0,61.0,0.0
