,RYAN CALLAHAN,MARKUS NASLUND,CHRIS DRURY,SCOTT GOMEZ,NIKOLAI ZHERDEV
RYAN CALLAHAN,0.0,6.0,14.0,11.0,4.0
MARKUS NASLUND,6.0,0.0,16.0,33.0,16.0
CHRIS DRURY,14.0,16.0,0.0,15.0,9.0
SCOTT GOMEZ,11.0,33.0,15.0,0.0,18.0
NIKOLAI ZHERDEV,4.0,16.0,9.0,18.0,0.0
