,MICHAEL FROLIK,NATHAN HORTON,CORY STILLMAN,STEPHEN WEISS,DAVID BOOTH
MICHAEL FROLIK,0.0,0.0,13.0,24.0,14.0
NATHAN HORTON,0.0,0.0,20.0,12.0,21.0
CORY STILLMAN,13.0,20.0,0.0,16.0,5.0
STEPHEN WEISS,24.0,12.0,16.0,0.0,23.0
DAVID BOOTH,14.0,21.0,5.0,23.0,0.0
