,BRAD RICHARDS,MIKE MODANO,JAMES NEAL,LOUI ERIKSSON,MIKE RIBEIRO
BRAD RICHARDS,0.0,11.0,6.0,19.0,5.0
MIKE MODANO,11.0,0.0,18.0,19.0,9.0
JAMES NEAL,6.0,18.0,0.0,8.0,11.0
LOUI ERIKSSON,19.0,19.0,8.0,0.0,28.0
MIKE RIBEIRO,5.0,9.0,11.0,28.0,0.0
