,DUSTIN BYFUGLIEN,JONATHAN TOEWS,ROBERT LANG,PATRICK SHARP,PATRICK KANE
DUSTIN BYFUGLIEN,0.0,10.0,11.0,4.0,17.0
JONATHAN TOEWS,10.0,0.0,4.0,23.0,37.0
ROBERT LANG,11.0,4.0,0.0,5.0,10.0
PATRICK SHARP,4.0,23.0,5.0,0.0,25.0
PATRICK KANE,17.0,37.0,10.0,25.0,0.0
