,NICKLAS LIDSTROM,JIRI HUDLER,JOHAN FRANZEN,HENRIK ZETTERBERG,PAVEL DATSYUK
NICKLAS LIDSTROM,0.0,5.0,13.0,18.0,19.0
JIRI HUDLER,5.0,0.0,8.0,5.0,3.0
JOHAN FRANZEN,13.0,8.0,0.0,17.0,14.0
HENRIK ZETTERBERG,18.0,5.0,17.0,0.0,63.0
PAVEL DATSYUK,19.0,3.0,14.0,63.0,0.0
