,CHRIS HIGGINS,ANDREI KOSTITSYN,SAKU KOIVU,TOMAS PLEKANEC,ALEX KOVALEV
CHRIS HIGGINS,0.0,1.0,35.0,2.0,8.0
ANDREI KOSTITSYN,1.0,0.0,0.0,44.0,39.0
SAKU KOIVU,35.0,0.0,0.0,0.0,8.0
TOMAS PLEKANEC,2.0,44.0,0.0,0.0,53.0
ALEX KOVALEV,8.0,39.0,8.0,53.0,0.0
