,JONATHAN CHEECHOO,PATRICK MARLEAU,JOE PAVELSKI,MILAN MICHALEK,JOE THORNTON
JONATHAN CHEECHOO,0.0,6.0,11.0,27.0,32.0
PATRICK MARLEAU,6.0,0.0,16.0,5.0,12.0
JOE PAVELSKI,11.0,16.0,0.0,4.0,15.0
MILAN MICHALEK,27.0,5.0,4.0,0.0,39.0
JOE THORNTON,32.0,12.0,15.0,39.0,0.0
