,SERGEI GONCHAR,RYAN MALONE,PETR SYKORA,SIDNEY CROSBY,EVGENI MALKIN
SERGEI GONCHAR,0.0,17.0,18.0,27.0,28.0
RYAN MALONE,17.0,0.0,21.0,12.0,36.0
PETR SYKORA,18.0,21.0,0.0,16.0,53.0
SIDNEY CROSBY,27.0,12.0,16.0,0.0,37.0
EVGENI MALKIN,28.0,36.0,53.0,37.0,0.0
