,MICHEL OUELLET,BRAD RICHARDS,VINNY PROSPAL,MARTIN ST. LOUIS,VINCENT LECAVALIER
MICHEL OUELLET,0.0,6.0,2.0,3.0,7.0
BRAD RICHARDS,6.0,0.0,15.0,25.0,19.0
VINNY PROSPAL,2.0,15.0,0.0,45.0,40.0
MARTIN ST. LOUIS,3.0,25.0,45.0,0.0,64.0
VINCENT LECAVALIER,7.0,19.0,40.0,64.0,0.0
