,DUSTIN PENNER,ROBERT NILSSON,SHAWN HORCOFF,SAM GAGNER,ALES HEMSKY
DUSTIN PENNER,0.0,4.0,25.0,9.0,36.0
ROBERT NILSSON,4.0,0.0,3.0,12.0,4.0
SHAWN HORCOFF,25.0,3.0,0.0,4.0,34.0
SAM GAGNER,9.0,12.0,4.0,0.0,19.0
ALES HEMSKY,36.0,4.0,34.0,19.0,0.0
