,SCOTT HARTNELL,MIKE KNUBLE,JEFF CARTER,DANNY BRIERE,MIKE RICHARDS
SCOTT HARTNELL,0.0,0.0,21.0,12.0,9.0
MIKE KNUBLE,0.0,0.0,13.0,24.0,23.0
JEFF CARTER,21.0,13.0,0.0,3.0,2.0
DANNY BRIERE,12.0,24.0,3.0,0.0,24.0
MIKE RICHARDS,9.0,23.0,2.0,24.0,0.0
