,JAY BOUWMEESTER,STEPHEN WEISS,DAVID BOOTH,NATHAN HORTON,OLLI JOKINEN
JAY BOUWMEESTER,0.0,6.0,9.0,12.0,16.0
STEPHEN WEISS,6.0,0.0,16.0,24.0,8.0
DAVID BOOTH,9.0,16.0,0.0,26.0,4.0
NATHAN HORTON,12.0,24.0,26.0,0.0,20.0
OLLI JOKINEN,16.0,8.0,4.0,20.0,0.0
