,JOSEF VASICEK,TRENT HUNTER,MIROSLAV SATAN,MIKE COMRIE,BILL GUERIN
JOSEF VASICEK,0.0,6.0,18.0,0.0,6.0
TRENT HUNTER,6.0,0.0,7.0,8.0,2.0
MIROSLAV SATAN,18.0,7.0,0.0,2.0,2.0
MIKE COMRIE,0.0,8.0,2.0,0.0,31.0
BILL GUERIN,6.0,2.0,2.0,31.0,0.0
