,CRAIG SMITH,SHEA WEBER,ROMAN JOSI,FILIP FORSBERG,JAMES NEAL
CRAIG SMITH,0.0,9.0,6.0,30.0,0.0
SHEA WEBER,9.0,0.0,31.0,23.0,11.0
ROMAN JOSI,6.0,31.0,0.0,22.0,11.0
FILIP FORSBERG,30.0,23.0,22.0,0.0,10.0
JAMES NEAL,0.0,11.0,11.0,10.0,0.0
