,DREW DOUGHTY,JEFF CARTER,MILAN LUCIC,TYLER TOFFOLI,ANZE KOPITAR
DREW DOUGHTY,0.0,11.0,6.0,13.0,34.0
JEFF CARTER,11.0,0.0,25.0,22.0,11.0
MILAN LUCIC,6.0,25.0,0.0,28.0,28.0
TYLER TOFFOLI,13.0,22.0,28.0,0.0,20.0
ANZE KOPITAR,34.0,11.0,28.0,20.0,0.0
