,JOEL WARD,PATRICK MARLEAU,JOE THORNTON,BRENT BURNS,JOE PAVELSKI
JOEL WARD,0.0,21.0,6.0,14.0,9.0
PATRICK MARLEAU,21.0,0.0,20.0,21.0,15.0
JOE THORNTON,6.0,20.0,0.0,23.0,49.0
BRENT BURNS,14.0,21.0,23.0,0.0,31.0
JOE PAVELSKI,9.0,15.0,49.0,31.0,0.0
