,JUSTIN WILLIAMS,TJ OSHIE,NICKLAS BACKSTROM,ALEX OVECHKIN,EVGENY KUZNETSOV
JUSTIN WILLIAMS,0.0,0.0,13.0,5.0,22.0
TJ OSHIE,0.0,0.0,34.0,27.0,10.0
NICKLAS BACKSTROM,13.0,34.0,0.0,37.0,6.0
ALEX OVECHKIN,5.0,27.0,37.0,0.0,31.0
EVGENY KUZNETSOV,22.0,10.0,6.0,31.0,0.0
