,VINCENT TROCHECK,JUSSI JOKINEN,JONATHAN HUBERDEAU,JAROMIR JAGR,ALEKSANDER BARKOV
VINCENT TROCHECK,0.0,29.0,0.0,8.0,0.0
JUSSI JOKINEN,29.0,0.0,0.0,5.0,3.0
JONATHAN HUBERDEAU,0.0,0.0,0.0,35.0,39.0
JAROMIR JAGR,8.0,5.0,35.0,0.0,40.0
ALEKSANDER BARKOV,0.0,3.0,39.0,40.0,0.0
