,JUSTIN FAULK,ELIAS LINDHOLM,VICTOR RASK,JORDAN STAAL,JEFF SKINNER
JUSTIN FAULK,0.0,8.0,18.0,7.0,6.0
ELIAS LINDHOLM,8.0,0.0,11.0,12.0,5.0
VICTOR RASK,18.0,11.0,0.0,4.0,21.0
JORDAN STAAL,7.0,12.0,4.0,0.0,7.0
JEFF SKINNER,6.0,5.0,21.0,7.0,0.0
