,TRAVIS ZAJAC,LEE STEMPNIAK,MIKE CAMMALLERI,ADAM HENRIQUE,KYLE PALMIERI
TRAVIS ZAJAC,0.0,2.0,5.0,4.0,28.0
LEE STEMPNIAK,2.0,0.0,21.0,19.0,2.0
MIKE CAMMALLERI,5.0,21.0,0.0,13.0,9.0
ADAM HENRIQUE,4.0,19.0,13.0,0.0,10.0
KYLE PALMIERI,28.0,2.0,9.0,10.0,0.0
