,BRENT SEABROOK,ARTEM ANISIMOV,JONATHAN TOEWS,ARTEMI PANARIN,PATRICK KANE
BRENT SEABROOK,0.0,10.0,11.0,20.0,29.0
ARTEM ANISIMOV,10.0,0.0,3.0,18.0,32.0
JONATHAN TOEWS,11.0,3.0,0.0,6.0,20.0
ARTEMI PANARIN,20.0,18.0,6.0,0.0,79.0
PATRICK KANE,29.0,32.0,20.0,79.0,0.0
