,TOBIAS RIEDER,ANTOINE VERMETTE,MIKKEL BOEDKER,ANTHONY DUCLAIR,OLIVER EKMAN-LARSSON,SHANE DOAN,MAX DOMI
TOBIAS RIEDER,0.0,9.0,3.0,10.0,7.0,13.0,0.0
ANTOINE VERMETTE,0.0,0.0,15.0,2.0,9.0,16.0,3.0
MIKKEL BOEDKER,0.0,0.0,0.0,0.0,16.0,9.0,11.0
ANTHONY DUCLAIR,0.0,0.0,0.0,0.0,13.0,0.0,22.0
OLIVER EKMAN-LARSSON,0.0,0.0,0.0,0.0,0.0,15.0,17.0
SHANE DOAN,0.0,0.0,0.0,0.0,0.0,0.0,7.0
MAX DOMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
