,MIKA ZIBANEJAD,MARK STONE,MIKE HOFFMAN,BOBBY RYAN,ERIK KARLSSON
MIKA ZIBANEJAD,0.0,6.0,23.0,22.0,24.0
MARK STONE,6.0,0.0,11.0,4.0,26.0
MIKE HOFFMAN,23.0,11.0,0.0,19.0,32.0
BOBBY RYAN,22.0,4.0,19.0,0.0,27.0
ERIK KARLSSON,24.0,26.0,32.0,27.0,0.0
