,PATRIC HORNQVIST,KRIS LETANG,EVGENI MALKIN,PHIL KESSEL,SIDNEY CROSBY
PATRIC HORNQVIST,0.0,19.0,17.0,9.0,30.0
KRIS LETANG,19.0,0.0,18.0,10.0,38.0
EVGENI MALKIN,17.0,18.0,0.0,27.0,19.0
PHIL KESSEL,9.0,10.0,27.0,0.0,19.0
SIDNEY CROSBY,30.0,38.0,19.0,19.0,0.0
