,TYLER BOZAK,PETER HOLLAND,LEO KOMAROV,PA PARENTEAU,NAZEM KADRI
TYLER BOZAK,0.0,5.0,0.0,18.0,5.0
PETER HOLLAND,5.0,0.0,6.0,11.0,5.0
LEO KOMAROV,0.0,6.0,0.0,0.0,18.0
PA PARENTEAU,18.0,11.0,0.0,0.0,4.0
NAZEM KADRI,5.0,5.0,18.0,4.0,0.0
