,NIKOLAJ EHLERS,BRYAN LITTLE,DUSTIN BYFUGLIEN,MARK SCHEIFELE,BLAKE WHEELER
NIKOLAJ EHLERS,0.0,2.0,7.0,20.0,21.0
BRYAN LITTLE,2.0,0.0,11.0,0.0,37.0
DUSTIN BYFUGLIEN,7.0,11.0,0.0,14.0,18.0
MARK SCHEIFELE,20.0,0.0,14.0,0.0,27.0
BLAKE WHEELER,21.0,37.0,18.0,27.0,0.0
