,ANDERS LEE,BROCK NELSON,FRANS NIELSEN,KYLE OKPOSO,JOHN TAVARES
ANDERS LEE,0.0,4.0,16.0,12.0,16.0
BROCK NELSON,4.0,0.0,0.0,10.0,17.0
FRANS NIELSEN,16.0,0.0,0.0,28.0,13.0
KYLE OKPOSO,12.0,10.0,28.0,0.0,23.0
JOHN TAVARES,16.0,17.0,13.0,23.0,0.0
