,RICKARD RAKELL,JAKOB SILFVERBERG,RYAN KESLER,RYAN GETZLAF,COREY PERRY
RICKARD RAKELL,0.0,3.0,0.0,15.0,35.0
JAKOB SILFVERBERG,3.0,0.0,33.0,3.0,0.0
RYAN KESLER,0.0,33.0,0.0,10.0,6.0
RYAN GETZLAF,15.0,3.0,10.0,0.0,26.0
COREY PERRY,35.0,0.0,6.0,26.0,0.0
