,KIMMO TIMONEN,MATT READ,WAYNE SIMMONDS,JAKUB VORACEK,CLAUDE GIROUX
KIMMO TIMONEN,0.0,0.0,11.0,12.0,15.0
MATT READ,0.0,0.0,5.0,6.0,10.0
WAYNE SIMMONDS,11.0,5.0,0.0,13.0,11.0
JAKUB VORACEK,12.0,6.0,13.0,0.0,29.0
CLAUDE GIROUX,15.0,10.0,11.0,29.0,0.0
