,EVGENI MALKIN,PASCAL DUPUIS,JAMES NEAL,CHRIS KUNITZ,SIDNEY CROSBY
EVGENI MALKIN,0.0,2.0,27.0,4.0,8.0
PASCAL DUPUIS,2.0,0.0,0.0,24.0,25.0
JAMES NEAL,27.0,0.0,0.0,17.0,15.0
CHRIS KUNITZ,4.0,24.0,17.0,0.0,39.0
SIDNEY CROSBY,8.0,25.0,15.0,39.0,0.0
