,PAUL STASTNY,JOHN MITCHELL,JAMIE MCGINN,PA PARENTEAU,MATT DUCHENE
PAUL STASTNY,0.0,4.0,4.0,14.0,4.0
JOHN MITCHELL,4.0,0.0,4.0,5.0,4.0
JAMIE MCGINN,4.0,4.0,0.0,14.0,10.0
PA PARENTEAU,14.0,5.0,14.0,0.0,35.0
MATT DUCHENE,4.0,4.0,10.0,35.0,0.0
