,DION PHANEUF,TYLER BOZAK,JAMES VAN RIEMSDYK,NAZEM KADRI,PHIL KESSEL
DION PHANEUF,0.0,6.0,4.0,8.0,15.0
TYLER BOZAK,6.0,0.0,16.0,1.0,24.0
JAMES VAN RIEMSDYK,4.0,16.0,0.0,0.0,30.0
NAZEM KADRI,8.0,1.0,0.0,0.0,7.0
PHIL KESSEL,15.0,24.0,30.0,7.0,0.0
