,CODY EAKIN,RAY WHITNEY,JAROMIR JAGR,LOUI ERIKSSON,JAMIE BENN
CODY EAKIN,0.0,3.0,0.0,3.0,1.0
RAY WHITNEY,3.0,0.0,6.0,12.0,9.0
JAROMIR JAGR,0.0,6.0,0.0,11.0,17.0
LOUI ERIKSSON,3.0,12.0,11.0,0.0,4.0
JAMIE BENN,1.0,9.0,17.0,4.0,0.0
