,VINNY PROSPAL,CAM ATKINSON,DERICK BRASSARD,ARTEM ANISIMOV,MARK LETESTU
VINNY PROSPAL,0.0,0.0,3.0,1.0,13.0
CAM ATKINSON,0.0,0.0,1.0,5.0,0.0
DERICK BRASSARD,3.0,1.0,0.0,0.0,10.0
ARTEM ANISIMOV,1.0,5.0,0.0,0.0,3.0
MARK LETESTU,13.0,0.0,10.0,3.0,0.0
