,JUSTIN WILLIAMS,MIKE RICHARDS,DUSTIN BROWN,ANZE KOPITAR,JEFF CARTER
JUSTIN WILLIAMS,0.0,3.0,14.0,17.0,0.0
MIKE RICHARDS,3.0,0.0,2.0,6.0,28.0
DUSTIN BROWN,14.0,2.0,0.0,27.0,8.0
ANZE KOPITAR,17.0,6.0,27.0,0.0,2.0
JEFF CARTER,0.0,28.0,8.0,2.0,0.0
