,STEVE OTT,TYLER ENNIS,JASON POMINVILLE,CODY HODGSON,THOMAS VANEK
STEVE OTT,0.0,4.0,5.0,2.0,5.0
TYLER ENNIS,4.0,0.0,0.0,5.0,16.0
JASON POMINVILLE,5.0,0.0,0.0,15.0,14.0
CODY HODGSON,2.0,5.0,15.0,0.0,30.0
THOMAS VANEK,5.0,16.0,14.0,30.0,0.0
