,TRAVIS ZAJAC,ADAM HENRIQUE,DAVID CLARKSON,ILYA KOVALCHUK,PATRIK ELIAS
TRAVIS ZAJAC,0.0,1.0,5.0,6.0,11.0
ADAM HENRIQUE,1.0,0.0,5.0,5.0,9.0
DAVID CLARKSON,5.0,5.0,0.0,6.0,23.0
ILYA KOVALCHUK,6.0,5.0,6.0,0.0,11.0
PATRIK ELIAS,11.0,9.0,23.0,11.0,0.0
