,TOMAS PLEKANEC,BRENDAN GALLAGHER,PK SUBBAN,ALEX GALCHENYUK,MAX PACIORETTY
TOMAS PLEKANEC,0.0,0.0,7.0,2.0,7.0
BRENDAN GALLAGHER,0.0,0.0,8.0,8.0,18.0
PK SUBBAN,7.0,8.0,0.0,3.0,13.0
ALEX GALCHENYUK,2.0,8.0,3.0,0.0,0.0
MAX PACIORETTY,7.0,18.0,13.0,0.0,0.0
