,SHAWN HORCOFF,RYAN POTULNY,GILBERT BRULE,PATRICK O'SULLIVAN,DUSTIN PENNER
SHAWN HORCOFF,0.0,2.0,1.0,2.0,7.0
RYAN POTULNY,2.0,0.0,2.0,7.0,10.0
GILBERT BRULE,1.0,2.0,0.0,7.0,17.0
PATRICK O'SULLIVAN,2.0,7.0,7.0,0.0,6.0
DUSTIN PENNER,7.0,10.0,17.0,6.0,0.0
