,TOMAS KABERLE,NIKOLAI KULEMIN,MATT STAJAN,ALEXEI PONIKAROVSKY,PHIL KESSEL
TOMAS KABERLE,0.0,5.0,8.0,12.0,13.0
NIKOLAI KULEMIN,5.0,0.0,4.0,3.0,16.0
MATT STAJAN,8.0,4.0,0.0,13.0,22.0
ALEXEI PONIKAROVSKY,12.0,3.0,13.0,0.0,14.0
PHIL KESSEL,13.0,16.0,22.0,14.0,0.0
