,VALTTERI FILPPULA,TOMAS HOLMSTROM,TODD BERTUZZI,HENRIK ZETTERBERG,PAVEL DATSYUK
VALTTERI FILPPULA,0.0,0.0,11.0,9.0,2.0
TOMAS HOLMSTROM,0.0,0.0,7.0,19.0,33.0
TODD BERTUZZI,11.0,7.0,0.0,19.0,18.0
HENRIK ZETTERBERG,9.0,19.0,19.0,0.0,22.0
PAVEL DATSYUK,2.0,33.0,18.0,22.0,0.0
