,MILAN MICHALEK,MIKE FISHER,ALEX KOVALEV,DANIEL ALFREDSSON,JASON SPEZZA
MILAN MICHALEK,0.0,4.0,5.0,24.0,20.0
MIKE FISHER,4.0,0.0,24.0,27.0,12.0
ALEX KOVALEV,5.0,24.0,0.0,11.0,7.0
DANIEL ALFREDSSON,24.0,27.0,11.0,0.0,28.0
JASON SPEZZA,20.0,12.0,7.0,28.0,0.0
