,BRIAN ROLSTON,JAMIE LANGENBRUNNER,PATRIK ELIAS,TRAVIS ZAJAC,ZACH PARISE
BRIAN ROLSTON,0.0,14.0,21.0,8.0,0.0
JAMIE LANGENBRUNNER,14.0,0.0,5.0,19.0,34.0
PATRIK ELIAS,21.0,5.0,0.0,6.0,19.0
TRAVIS ZAJAC,8.0,19.0,6.0,0.0,52.0
ZACH PARISE,0.0,34.0,19.0,52.0,0.0
