,ZDENO CHARA,MARK RECCHI,BLAKE WHEELER,DAVID KREJCI,PATRICE BERGERON
ZDENO CHARA,0.0,3.0,1.0,11.0,10.0
MARK RECCHI,3.0,0.0,2.0,13.0,28.0
BLAKE WHEELER,1.0,2.0,0.0,22.0,3.0
DAVID KREJCI,11.0,13.0,22.0,0.0,5.0
PATRICE BERGERON,10.0,28.0,3.0,5.0,0.0
