,PASCAL DUPUIS,BILL GUERIN,JORDAN STAAL,EVGENI MALKIN,SIDNEY CROSBY
PASCAL DUPUIS,0.0,4.0,12.0,6.0,17.0
BILL GUERIN,4.0,0.0,3.0,16.0,41.0
JORDAN STAAL,12.0,3.0,0.0,8.0,7.0
EVGENI MALKIN,6.0,16.0,8.0,0.0,42.0
SIDNEY CROSBY,17.0,41.0,7.0,42.0,0.0
