,ANDREI KOSTITSYN,BRIAN GIONTA,MIKE CAMMALLERI,SCOTT GOMEZ,TOMAS PLEKANEC
ANDREI KOSTITSYN,0.0,0.0,19.0,5.0,31.0
BRIAN GIONTA,0.0,0.0,14.0,29.0,6.0
MIKE CAMMALLERI,19.0,14.0,0.0,7.0,28.0
SCOTT GOMEZ,5.0,29.0,7.0,0.0,3.0
TOMAS PLEKANEC,31.0,6.0,28.0,3.0,0.0
