,SCOTTIE UPSHALL,ED JOVANOVSKI,KEITH YANDLE,ROBERT LANG,MATTHEW LOMBARDI,SHANE DOAN,RADIM VRBATA
SCOTTIE UPSHALL,0.0,2.0,3.0,2.0,24.0,18.0,2.0
ED JOVANOVSKI,0.0,0.0,2.0,4.0,9.0,19.0,7.0
KEITH YANDLE,0.0,0.0,0.0,7.0,8.0,10.0,11.0
ROBERT LANG,0.0,0.0,0.0,0.0,6.0,3.0,2.0
MATTHEW LOMBARDI,0.0,0.0,0.0,0.0,0.0,32.0,1.0
SHANE DOAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADIM VRBATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
