,WOJTEK WOLSKI,MILAN HEJDUK,MATT DUCHENE,CHRIS STEWART,PAUL STASTNY
WOJTEK WOLSKI,0.0,8.0,8.0,19.0,21.0
MILAN HEJDUK,8.0,0.0,24.0,3.0,21.0
MATT DUCHENE,8.0,24.0,0.0,12.0,17.0
CHRIS STEWART,19.0,3.0,12.0,0.0,34.0
PAUL STASTNY,21.0,21.0,17.0,34.0,0.0
