,JOCHEN HECHT,TIM CONNOLLY,THOMAS VANEK,JASON POMINVILLE,DEREK ROY
JOCHEN HECHT,0.0,23.0,3.0,19.0,9.0
TIM CONNOLLY,23.0,0.0,14.0,34.0,12.0
THOMAS VANEK,3.0,14.0,0.0,7.0,29.0
JASON POMINVILLE,19.0,34.0,7.0,0.0,22.0
DEREK ROY,9.0,12.0,29.0,22.0,0.0
