,MICHAEL FROLIK,CORY STILLMAN,STEVE REINPRECHT,NATHAN HORTON,STEPHEN WEISS
MICHAEL FROLIK,0.0,0.0,8.0,22.0,26.0
CORY STILLMAN,0.0,0.0,24.0,8.0,13.0
STEVE REINPRECHT,8.0,24.0,0.0,14.0,4.0
NATHAN HORTON,22.0,8.0,14.0,0.0,38.0
STEPHEN WEISS,26.0,13.0,4.0,38.0,0.0
