,MARK STREIT,KYLE OKPOSO,FRANS NIELSEN,JOHN TAVARES,MATT MOULSON
MARK STREIT,0.0,14.0,6.0,12.0,14.0
KYLE OKPOSO,14.0,0.0,4.0,26.0,13.0
FRANS NIELSEN,6.0,4.0,0.0,5.0,8.0
JOHN TAVARES,12.0,26.0,5.0,0.0,23.0
MATT MOULSON,14.0,13.0,8.0,23.0,0.0
