,SCOTT HARTNELL,CLAUDE GIROUX,DANNY BRIERE,JEFF CARTER,MIKE RICHARDS
SCOTT HARTNELL,0.0,11.0,12.0,24.0,12.0
CLAUDE GIROUX,11.0,0.0,3.0,0.0,23.0
DANNY BRIERE,12.0,3.0,0.0,43.0,7.0
JEFF CARTER,24.0,0.0,43.0,0.0,11.0
MIKE RICHARDS,12.0,23.0,7.0,11.0,0.0
