,KEITH YANDLE,ROBERT LANG,MATTHEW LOMBARDI,SHANE DOAN,RADIM VRBATA
KEITH YANDLE,0.0,7.0,8.0,10.0,11.0
ROBERT LANG,7.0,0.0,6.0,3.0,2.0
MATTHEW LOMBARDI,8.0,6.0,0.0,32.0,1.0
SHANE DOAN,10.0,3.0,32.0,0.0,0.0
RADIM VRBATA,11.0,2.0,1.0,0.0,0.0
