,COLBY ARMSTRONG,TOBIAS ENSTROM,BRYAN LITTLE,MAXIM AFINOGENOV,RICH PEVERLEY,NIK ANTROPOV,ILYA KOVALCHUK
COLBY ARMSTRONG,0.0,4.0,0.0,0.0,18.0,0.0,0.0
TOBIAS ENSTROM,0.0,0.0,8.0,7.0,2.0,14.0,20.0
BRYAN LITTLE,0.0,0.0,0.0,3.0,6.0,14.0,12.0
MAXIM AFINOGENOV,0.0,0.0,0.0,0.0,17.0,29.0,31.0
RICH PEVERLEY,0.0,0.0,0.0,0.0,0.0,12.0,8.0
NIK ANTROPOV,0.0,0.0,0.0,0.0,0.0,0.0,32.0
ILYA KOVALCHUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
