,RYAN DZINGEL,ERIK KARLSSON,MIKE HOFFMAN,MATT DUCHENE,MARK STONE
RYAN DZINGEL,0.0,8.0,7.0,7.0,13.0
ERIK KARLSSON,8.0,0.0,13.0,14.0,11.0
MIKE HOFFMAN,7.0,13.0,0.0,33.0,11.0
MATT DUCHENE,7.0,14.0,33.0,0.0,6.0
MARK STONE,13.0,11.0,11.0,6.0,0.0
