,MIKAEL BACKLUND,MICHEAL FERLAND,MATTHEW TKACHUK,SEAN MONAHAN,JOHNNY GAUDREAU
MIKAEL BACKLUND,0.0,3.0,28.0,0.0,1.0
MICHEAL FERLAND,3.0,0.0,0.0,22.0,38.0
MATTHEW TKACHUK,28.0,0.0,0.0,10.0,10.0
SEAN MONAHAN,0.0,22.0,10.0,0.0,58.0
JOHNNY GAUDREAU,1.0,38.0,10.0,58.0,0.0
