,JONATHAN DROUIN,PAUL BYRON,JEFF PETRY,ALEX GALCHENYUK,BRENDAN GALLAGHER
JONATHAN DROUIN,0.0,10.0,15.0,17.0,13.0
PAUL BYRON,10.0,0.0,3.0,20.0,11.0
JEFF PETRY,15.0,3.0,0.0,15.0,13.0
ALEX GALCHENYUK,17.0,20.0,15.0,0.0,10.0
BRENDAN GALLAGHER,13.0,11.0,13.0,10.0,0.0
