,ALEX PIETRANGELO,ALEXANDER STEEN,JADEN SCHWARTZ,VLADIMIR TARASENKO,BRAYDEN SCHENN
ALEX PIETRANGELO,0.0,9.0,21.0,10.0,17.0
ALEXANDER STEEN,9.0,0.0,9.0,8.0,15.0
JADEN SCHWARTZ,21.0,9.0,0.0,36.0,42.0
VLADIMIR TARASENKO,10.0,8.0,36.0,0.0,24.0
BRAYDEN SCHENN,17.0,15.0,42.0,24.0,0.0
