,ERIK HAULA,REILLY SMITH,DAVID PERRON,WILLIAM KARLSSON,JONATHAN MARCHESSAULT
ERIK HAULA,0.0,0.0,42.0,0.0,12.0
REILLY SMITH,0.0,0.0,1.0,49.0,37.0
DAVID PERRON,42.0,1.0,0.0,2.0,6.0
WILLIAM KARLSSON,0.0,49.0,2.0,0.0,47.0
JONATHAN MARCHESSAULT,12.0,37.0,6.0,47.0,0.0
